Comment,Designator,Footprint,LCSC Part Number
100nF,"C1,C3,C4,C6,C7,C8,C13,C14,C16,C20,C21,C22,C24,C25,C27",Capacitor_SMD:C_0805_2012Metric,C28233
10uF/16V,"C12,C26",Capacitor_SMD:CP_Elec_4x5.4,C2895284
100uF/16V,"C15,C23",Capacitor_SMD:CP_Elec_6.3x7.7,C176675
10nF,"C2,C10,C11",Capacitor_SMD:C_0805_2012Metric,C1710
1uF,C5,Capacitor_SMD:C_0805_2012Metric,C28323
680pF,C9,Capacitor_SMD:C_0805_2012Metric,C384742
TX,D1,LED_SMD:LED_0805_2012Metric_Castellated,C130114
FT8,D2,LED_SMD:LED_0805_2012Metric_Castellated,C130114
FT4,D3,LED_SMD:LED_0805_2012Metric_Castellated,C130114
JS8,D4,LED_SMD:LED_0805_2012Metric_Castellated,C130114
WSPR,D5,LED_SMD:LED_0805_2012Metric_Castellated,C130114
1N4148,"D6,D7,D9",Diode_SMD:D_SOD-123,C81598
100uH,"L1,L2",Inductor_SMD:L_0805_2012Metric,C223143
1uH,L3,Inductor_SMD:L_0805_2012Metric,C1042
MMBF170,Q4,Package_TO_SOT_SMD:SOT-23,C151058
470k,R1,Resistor_SMD:R_0805_2012Metric,C17709
2.7k,R12,Resistor_SMD:R_0805_2012Metric,C17530
100,R14,Resistor_SMD:R_0805_2012Metric,C17408
4.7k,"R2,R15,R16",Resistor_SMD:R_0805_2012Metric,C17673
10k,"R3,R4,R10,R11,R17",Resistor_SMD:R_0805_2012Metric,C17414
1k,"R5,R6,R7,R8,R9,R13",Resistor_SMD:R_0805_2012Metric,C17513
UP,SW1,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,C557904
DOWN/CAL,SW2,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,C557904
TX,SW3,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,C557904
Si5351A,U2,Package_SO:MSOP-10_3x3mm_P0.5mm,C1509083
74ACT244,U3,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,C6930
AMS1117-3.3,U4,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186
25Mhz,Y1,Crystal:Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm,C9006
